#Thermo information
#TimeStep Temp PE KE
533 10.8916 -56.6372 1.00644
534 10.9195 -56.6406 1.00902
535 10.945 -56.6438 1.01137
536 10.968 -56.6468 1.0135
537 10.9886 -56.6495 1.0154
538 11.0067 -56.652 1.01707
539 11.0222 -56.6543 1.01851
540 11.0352 -56.6564 1.01971
541 11.0456 -56.6582 1.02067
542 11.0534 -56.6598 1.0214
543 11.0587 -56.6612 1.02188
544 11.0613 -56.6623 1.02212
545 11.0614 -56.6632 1.02213
546 11.0589 -56.6639 1.0219
547 11.0538 -56.6644 1.02143
548 11.0462 -56.6646 1.02073
549 11.0361 -56.6646 1.0198
550 11.0236 -56.6644 1.01864
551 11.0086 -56.664 1.01725
552 10.9913 -56.6633 1.01566
553 10.9717 -56.6625 1.01384
554 10.9498 -56.6614 1.01182
555 10.9257 -56.6602 1.00959
556 10.8995 -56.6588 1.00717
557 10.8712 -56.6571 1.00455
558 10.8408 -56.6553 1.00175
559 10.8085 -56.6533 0.998762
560 10.7744 -56.6512 0.995606
561 10.7384 -56.6489 0.992285
562 10.7008 -56.6464 0.988807
563 10.6615 -56.6438 0.985179
564 10.6207 -56.641 0.981409
565 10.5785 -56.6381 0.977506
566 10.5349 -56.6351 0.973478
567 10.49 -56.632 0.969332
568 10.444 -56.6287 0.965078
569 10.3969 -56.6254 0.960723
570 10.3487 -56.6219 0.956277
571 10.2997 -56.6184 0.951747
572 10.2499 -56.6148 0.947142
573 10.1993 -56.6111 0.94247
574 10.1481 -56.6073 0.93774
575 10.0964 -56.6035 0.932959
576 10.0442 -56.5996 0.928135
577 9.99162 -56.5957 0.923277
578 9.93876 -56.5917 0.918392
579 9.88567 -56.5877 0.913487
580 9.83246 -56.5837 0.90857
581 9.77919 -56.5797 0.903647
582 9.72593 -56.5757 0.898726
583 9.67276 -56.5716 0.893813
584 9.61975 -56.5676 0.888914
585 9.56696 -56.5635 0.884036
586 9.51445 -56.5595 0.879184
587 9.46229 -56.5555 0.874364
588 9.41055 -56.5515 0.869583
589 9.35929 -56.5475 0.864846
590 9.30854 -56.5435 0.860156
591 9.25833 -56.5396 0.855517
592 9.20872 -56.5358 0.850933
593 9.15975 -56.5319 0.846407
594 9.11145 -56.5281 0.841944
595 9.06386 -56.5244 0.837547
596 9.01705 -56.5207 0.833222
597 8.97104 -56.517 0.82897
598 8.92584 -56.5134 0.824793
599 8.88148 -56.5099 0.820694
600 8.838 -56.5064 0.816676
601 8.79539 -56.503 0.812739
602 8.75366 -56.4996 0.808883
603 8.71284 -56.4963 0.805111
604 8.67295 -56.4931 0.801425
605 8.634 -56.4899 0.797825
606 8.596 -56.4868 0.794314
607 8.55896 -56.4838 0.790892
608 8.5229 -56.4808 0.78756
609 8.48784 -56.4779 0.78432
610 8.45377 -56.475 0.781172
611 8.42072 -56.4722 0.778117
612 8.38868 -56.4695 0.775157
613 8.35768 -56.4669 0.772292
614 8.32771 -56.4643 0.769523
615 8.2988 -56.4618 0.766852
616 8.27095 -56.4593 0.764278
617 8.24418 -56.457 0.761804
618 8.21849 -56.4547 0.75943
619 8.1939 -56.4525 0.757158
620 8.17042 -56.4503 0.754988
621 8.14806 -56.4483 0.752923
622 8.12685 -56.4463 0.750963
623 8.1068 -56.4444 0.74911
624 8.08792 -56.4425 0.747365
625 8.07024 -56.4408 0.745732
626 8.05378 -56.4391 0.74421
627 8.03855 -56.4376 0.742803
628 8.02459 -56.4361 0.741513
629 8.0119 -56.4347 0.740341
630 8.00053 -56.4334 0.73929
631 7.99051 -56.4322 0.738364
632 7.98187 -56.4311 0.737565
633 7.97461 -56.43 0.736895
634 7.96878 -56.4291 0.736356
635 7.96439 -56.4283 0.73595
636 7.96147 -56.4276 0.735681
637 7.96007 -56.427 0.735551
638 7.96021 -56.4265 0.735564
639 7.96192 -56.4262 0.735722
640 7.96524 -56.4259 0.736029
641 7.97019 -56.4258 0.736487
642 7.97682 -56.4258 0.737099
643 7.98515 -56.4259 0.737868
644 7.9952 -56.4262 0.738798
645 8.00703 -56.4265 0.73989
646 8.02064 -56.4271 0.741148
647 8.03607 -56.4277 0.742574
648 8.05335 -56.4285 0.744171
649 8.0725 -56.4294 0.74594
650 8.09357 -56.4305 0.747887
651 8.11658 -56.4317 0.750014
652 8.14153 -56.4331 0.752319
653 8.16843 -56.4346 0.754805
654 8.19732 -56.4362 0.757474
655 8.2282 -56.4381 0.760328
656 8.26107 -56.44 0.763365
657 8.29594 -56.4421 0.766587
658 8.3328 -56.4444 0.769994
659 8.37167 -56.4468 0.773585
660 8.41251 -56.4494 0.777358
661 8.45529 -56.4521 0.781312
662 8.50001 -56.455 0.785444
663 8.54663 -56.458 0.789752
664 8.59514 -56.4611 0.794235
665 8.6455 -56.4644 0.798888
666 8.69766 -56.4678 0.803709
667 8.7516 -56.4713 0.808693
668 8.80726 -56.475 0.813836
669 8.8646 -56.4788 0.819135
670 8.92358 -56.4827 0.824585
671 8.98412 -56.4867 0.830178
672 9.04613 -56.4909 0.835909
673 9.10956 -56.4951 0.84177
674 9.17432 -56.4994 0.847754
675 9.24033 -56.5038 0.853853
676 9.3075 -56.5083 0.860061
677 9.37574 -56.5129 0.866367
678 9.44496 -56.5175 0.872762
679 9.51505 -56.5221 0.879239
680 9.5859 -56.5269 0.885787
681 9.65742 -56.5316 0.892395
682 9.72949 -56.5364 0.899055
683 9.80201 -56.5412 0.905755
684 9.87483 -56.546 0.912485
685 9.94785 -56.5508 0.919233
686 10.0209 -56.5556 0.925986
687 10.094 -56.5603 0.932734
688 10.1668 -56.565 0.939464
689 10.2393 -56.5697 0.946165
690 10.3114 -56.5743 0.952823
691 10.3828 -56.5789 0.959428
692 10.4536 -56.5834 0.965965
693 10.5235 -56.5878 0.972424
694 10.5924 -56.5921 0.978791
695 10.6602 -56.5962 0.985055
696 10.7267 -56.6003 0.991202
697 10.7918 -56.6042 0.997221
698 10.8555 -56.608 1.0031
699 10.9174 -56.6117 1.00883
700 10.9776 -56.6151 1.01439
701 11.0359 -56.6184 1.01978
702 11.0922 -56.6216 1.02498
703 11.1464 -56.6245 1.02998
704 11.1983 -56.6272 1.03478
705 11.2478 -56.6298 1.03936
706 11.2949 -56.6321 1.04371
707 11.3394 -56.6342 1.04782
708 11.3813 -56.636 1.05169
709 11.4204 -56.6377 1.0553
710 11.4567 -56.6391 1.05866
711 11.49 -56.6402 1.06174
712 11.5204 -56.6411 1.06455
713 11.5477 -56.6417 1.06707
714 11.572 -56.6421 1.06931
715 11.593 -56.6422 1.07125
716 11.6109 -56.642 1.0729
717 11.6254 -56.6415 1.07425
718 11.6367 -56.6408 1.07529
719 11.6447 -56.6398 1.07603
720 11.6494 -56.6386 1.07646
721 11.6507 -56.637 1.07659
722 11.6488 -56.6352 1.0764
723 11.6434 -56.6331 1.07591
724 11.6348 -56.6307 1.07512
725 11.6229 -56.6281 1.07401
726 11.6076 -56.6251 1.0726
727 11.5892 -56.622 1.0709
728 11.5675 -56.6185 1.06889
729 11.5426 -56.6148 1.0666
730 11.5147 -56.6108 1.06402
731 11.4837 -56.6066 1.06116
732 11.4498 -56.6022 1.05802
733 11.413 -56.5975 1.05462
734 11.3734 -56.5926 1.05096
735 11.331 -56.5874 1.04705
736 11.2862 -56.5821 1.0429
737 11.2389 -56.5766 1.03853
738 11.1891 -56.5708 1.03393
739 11.137 -56.5649 1.02912
740 11.0828 -56.5588 1.0241
741 11.0264 -56.5525 1.0189
742 10.9682 -56.5461 1.01351
743 10.9081 -56.5395 1.00796
744 10.8463 -56.5328 1.00225
745 10.783 -56.526 0.996401
746 10.7182 -56.519 0.990419
747 10.6522 -56.512 0.98432
748 10.5851 -56.5048 0.978117
749 10.517 -56.4976 0.971823
750 10.448 -56.4903 0.965452
751 10.3784 -56.483 0.959017
752 10.3082 -56.4756 0.952533
753 10.2377 -56.4682 0.946013
754 10.1669 -56.4608 0.93947
755 10.096 -56.4534 0.932919
756 10.0251 -56.446 0.926373
757 9.95448 -56.4386 0.919845
758 9.88419 -56.4313 0.913349
759 9.81438 -56.4239 0.906899
760 9.74521 -56.4167 0.900507
761 9.67681 -56.4095 0.894186
762 9.60932 -56.4024 0.88795
763 9.54287 -56.3954 0.88181
764 9.4776 -56.3885 0.875779
765 9.41364 -56.3817 0.869869
766 9.35111 -56.375 0.864091
767 9.29014 -56.3685 0.858456
768 9.23084 -56.3621 0.852976
769 9.17332 -56.3558 0.847662
770 9.1177 -56.3497 0.842522
771 9.06409 -56.3438 0.837568
772 9.01259 -56.3381 0.832809
773 8.96329 -56.3326 0.828254
774 8.91629 -56.3272 0.823911
775 8.87167 -56.3221 0.819788
776 8.82953 -56.3171 0.815894
777 8.78994 -56.3124 0.812236
778 8.75298 -56.3079 0.80882
779 8.71871 -56.3036 0.805653
